"","YearDecimal","Latitude30value","Latitude30uncertainty","Latitude33value","Latitude33uncertainty","Latitude37value","Latitude37uncertainty","Latitude41value","Latitude41uncertainty","Latitude44value","Latitude44uncertainty","Latitude49value","Latitude49uncertainty","Latitude53value","Latitude53uncertainty","Latitude58value","Latitude58uncertainty","Latitude64value","Latitude64uncertainty","Latitude72value","Latitude72uncertainty","Latitude90value","Latitude90uncertainty"
"535",1990.125,356.71,0.264,357.111,0.356,357.648,0.474,358.297,0.598,358.983,0.684,359.597,0.693,360.054,0.616,360.328,0.475,360.45,0.32,360.482,0.208,360.486,0.186
"536",1990.145833,356.919,0.268,357.28,0.349,357.766,0.447,358.363,0.547,359.008,0.614,359.609,0.614,360.084,0.541,360.404,0.416,360.589,0.288,360.687,0.212,360.748,0.211
"537",1990.166667,357.141,0.267,357.464,0.337,357.895,0.414,358.431,0.491,359.029,0.538,359.608,0.531,360.098,0.461,360.463,0.354,360.711,0.258,360.876,0.22,360.998,0.236
"538",1990.1875,357.38,0.257,357.672,0.32,358.052,0.382,358.53,0.441,359.077,0.474,359.628,0.46,360.119,0.396,360.512,0.306,360.806,0.238,361.021,0.227,361.188,0.252
"539",1990.208333,357.648,0.24,357.917,0.297,358.256,0.353,358.681,0.403,359.177,0.43,359.691,0.415,360.163,0.356,360.557,0.277,360.865,0.225,361.102,0.225,361.289,0.253
"540",1990.229167,357.941,0.22,358.196,0.276,358.503,0.33,358.885,0.38,359.332,0.408,359.801,0.395,360.236,0.34,360.603,0.266,360.893,0.214,361.118,0.212,361.297,0.236
"541",1990.25,358.252,0.202,358.497,0.257,358.781,0.316,359.126,0.371,359.528,0.404,359.947,0.396,360.332,0.344,360.651,0.268,360.899,0.207,361.087,0.191,361.235,0.206
"542",1990.270833,358.559,0.184,358.794,0.24,359.056,0.306,359.368,0.371,359.728,0.412,360.098,0.41,360.429,0.359,360.693,0.279,360.888,0.205,361.03,0.17,361.139,0.173
"543",1990.291667,358.821,0.172,359.038,0.228,359.274,0.303,359.553,0.376,359.876,0.424,360.203,0.426,360.489,0.377,360.708,0.293,360.861,0.21,360.966,0.16,361.043,0.15
"544",1990.3125,358.975,0.171,359.165,0.229,359.37,0.306,359.618,0.382,359.908,0.432,360.205,0.434,360.465,0.385,360.663,0.302,360.802,0.218,360.895,0.164,360.962,0.147
"545",1990.333333,359.008,0.186,359.149,0.242,359.304,0.311,359.509,0.379,359.766,0.423,360.044,0.422,360.302,0.373,360.513,0.296,360.673,0.222,360.791,0.177,360.878,0.161
